scorer,lang,n,accuracy,ci_low,ci_high,parse_fail_rate,kappa_letter_gen
LETTER,en,400,0.485,0.4375,0.5325,,0.41269631780388016
CONT,en,400,0.3025,0.255,0.35,,0.41269631780388016
CONT_TOKNORM,en,400,0.3475,0.3,0.395,,0.41269631780388016
CONT_CHARNORM,en,400,0.3275,0.2825,0.37006249999999963,,0.41269631780388016
GEN,en,400,0.41,0.36,0.4575,0.0,0.41269631780388016
LETTER,zh,400,0.47,0.42,0.52,,0.39119281744335194
CONT,zh,400,0.285,0.24,0.33,,0.39119281744335194
CONT_TOKNORM,zh,400,0.315,0.27,0.3575,,0.39119281744335194
CONT_CHARNORM,zh,400,0.31,0.265,0.355,,0.39119281744335194
GEN,zh,400,0.3625,0.315,0.4125,0.0,0.39119281744335194
LETTER,sw,400,0.26,0.2175,0.305,,0.06765340015150641
CONT,sw,400,0.245,0.2025,0.2875,,0.06765340015150641
CONT_TOKNORM,sw,400,0.3,0.255,0.345,,0.06765340015150641
CONT_CHARNORM,sw,400,0.2925,0.2475,0.3375,,0.06765340015150641
GEN,sw,400,0.24,0.2,0.2825,0.0,0.06765340015150641
